iter	Passed	Remaining
0	15	15610
1	20	10131
2	24	8278
3	29	7383
4	35	7086
5	40	6643
6	44	6316
7	49	6096
8	53	5935
9	58	5813
10	63	5732
11	68	5630
12	73	5550
13	77	5487
14	82	5416
15	87	5388
16	92	5334
17	96	5284
18	101	5251
19	106	5217
20	110	5170
21	115	5135
22	119	5091
23	123	5035
24	128	5005
25	132	4973
26	137	4954
27	142	4959
28	147	4927
29	151	4895
30	156	4883
31	160	4851
32	164	4817
33	168	4786
34	173	4779
35	177	4742
36	181	4721
37	185	4690
38	189	4671
39	194	4659
40	198	4639
41	202	4623
42	207	4610
43	211	4591
44	215	4574
45	219	4544
46	223	4527
47	227	4513
48	231	4496
49	235	4478
50	239	4457
51	243	4447
52	248	4440
53	252	4431
54	257	4415
55	261	4402
56	265	4387
57	269	4375
58	273	4360
59	277	4347
60	281	4337
61	286	4331
62	290	4319
63	294	4304
64	298	4291
65	302	4282
66	306	4272
67	310	4253
68	315	4250
69	318	4237
70	322	4219
71	326	4212
72	331	4208
73	335	4199
74	339	4191
75	344	4184
76	348	4178
77	352	4171
78	356	4160
79	360	4150
80	364	4140
81	368	4130
82	373	4123
83	376	4110
84	381	4102
85	385	4093
86	389	4088
87	393	4079
88	397	4068
89	401	4055
90	404	4044
91	408	4028
92	411	4017
93	415	4007
94	420	4006
95	424	3998
96	429	3993
97	433	3988
98	438	3986
99	441	3977
100	446	3974
101	450	3968
102	454	3959
103	459	3957
104	464	3958
105	468	3952
106	474	3956
107	477	3940
108	480	3926
109	484	3922
110	488	3916
111	492	3907
112	496	3898
113	500	3890
114	504	3879
115	507	3868
116	511	3861
117	515	3850
118	519	3843
119	523	3835
120	527	3834
121	531	3828
122	535	3819
123	539	3814
124	544	3814
125	549	3809
126	552	3797
127	556	3793
128	559	3780
129	563	3773
130	567	3765
131	571	3755
132	574	3747
133	579	3745
134	583	3739
135	586	3728
136	591	3724
137	595	3718
138	599	3713
139	603	3708
140	607	3702
141	611	3692
142	615	3687
143	619	3682
144	623	3678
145	627	3671
146	631	3662
147	635	3655
148	639	3653
149	642	3642
150	647	3638
151	650	3626
152	654	3622
153	657	3612
154	661	3603
155	665	3599
156	668	3589
157	672	3583
158	676	3579
159	681	3575
160	686	3576
161	690	3570
162	693	3563
163	698	3559
164	702	3555
165	706	3547
166	710	3544
167	714	3538
168	718	3532
169	722	3526
170	726	3522
171	730	3517
172	733	3508
173	737	3502
174	740	3493
175	744	3483
176	747	3474
177	750	3466
178	754	3460
179	758	3454
180	761	3445
181	765	3442
182	769	3434
183	772	3427
184	777	3423
185	781	3421
186	784	3412
187	788	3403
188	792	3400
189	796	3395
190	799	3386
191	803	3382
192	807	3374
193	810	3366
194	813	3358
195	816	3350
196	821	3348
197	825	3343
198	829	3336
199	833	3332
200	837	3327
201	839	3318
202	844	3315
203	847	3308
204	851	3300
205	855	3299
206	860	3297
207	863	3289
208	868	3286
209	873	3285
210	876	3277
211	880	3272
212	883	3265
213	886	3257
214	890	3250
215	893	3243
216	897	3237
217	900	3230
218	904	3224
219	907	3216
220	910	3211
221	915	3207
222	918	3199
223	921	3194
224	926	3189
225	929	3183
226	933	3177
227	936	3171
228	940	3167
229	944	3160
230	948	3158
231	952	3152
232	956	3149
233	960	3143
234	963	3137
235	967	3130
236	970	3125
237	974	3119
238	978	3114
239	981	3107
240	984	3100
241	987	3094
242	992	3091
243	995	3084
244	999	3080
245	1002	3073
246	1005	3066
247	1008	3059
248	1012	3054
249	1016	3048
250	1019	3040
251	1022	3034
252	1025	3027
253	1029	3022
254	1032	3016
255	1036	3011
256	1039	3005
257	1042	2998
258	1045	2991
259	1049	2986
260	1052	2981
261	1055	2974
262	1058	2967
263	1062	2961
264	1066	2957
265	1070	2954
266	1074	2948
267	1077	2942
268	1080	2937
269	1084	2931
270	1087	2925
271	1090	2919
272	1094	2913
273	1097	2906
274	1100	2901
275	1104	2897
276	1108	2892
277	1111	2887
278	1115	2882
279	1118	2877
280	1122	2872
281	1125	2866
282	1129	2861
283	1133	2857
284	1137	2853
285	1141	2849
286	1149	2856
287	1159	2865
288	1180	2905
289	1200	2940
290	1216	2964
291	1220	2959
292	1224	2954
293	1227	2947
294	1230	2941
295	1234	2935
296	1238	2931
297	1241	2925
298	1245	2919
299	1248	2913
300	1251	2906
301	1254	2899
302	1257	2893
303	1261	2887
304	1264	2881
305	1267	2874
306	1270	2867
307	1273	2861
308	1277	2855
309	1280	2849
310	1283	2843
311	1286	2836
312	1289	2830
313	1292	2823
314	1295	2818
315	1298	2811
316	1302	2805
317	1304	2798
318	1308	2792
319	1311	2787
320	1315	2782
321	1318	2775
322	1321	2769
323	1324	2763
324	1328	2758
325	1331	2752
326	1334	2746
327	1337	2740
328	1340	2734
329	1344	2729
330	1347	2723
331	1350	2717
332	1353	2711
333	1357	2706
334	1360	2700
335	1363	2694
336	1366	2688
337	1369	2683
338	1372	2676
339	1375	2671
340	1379	2666
341	1382	2660
342	1386	2655
343	1390	2651
344	1393	2646
345	1397	2642
346	1402	2638
347	1406	2635
348	1411	2632
349	1415	2628
350	1418	2623
351	1423	2620
352	1426	2615
353	1430	2611
354	1435	2607
355	1439	2603
356	1443	2600
357	1447	2596
358	1452	2592
